oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
WES,200.0,294.0,21162.3,3,1,142.0,244.0,1,2,123.0,219.0,1,3,125.0,220.0,1,3,66.1,173.7,2.6,MID-2,125.0,220.0,29097.6,
WES,200.0,294.0,21186.7,3,1,156.0,254.0,1,2,152.0,241.0,1,3,169.0,188.0,2,4,77.2,211.1,2.7,MON-2,169.0,188.0,30454.9,
WES,200.0,294.0,21188.8,3,1,146.0,243.0,1,2,117.0,226.0,1,3,90.0,237.0,1,3,82.2,183.3,2.2,HUN,90.0,237.0,31056.2,
WES,200.0,294.0,21215.2,3,1,169.0,274.0,1,2,149.0,259.0,1,3,114.0,249.0,1,3,59.0,117.5,2.0,SOM-2,114.0,249.0,28292.2,
WES,200.0,294.0,21216.0,3,1,166.0,266.0,1,2,129.0,223.0,1,3,132.0,214.0,2,4,66.2,212.7,3.2,MID-2,132.0,214.0,29154.7,
WES,200.0,294.0,21279.1,3,1,173.0,264.0,1,2,136.0,241.0,1,3,139.0,204.0,1,3,72.6,139.3,1.9,MID-1,139.0,204.0,29994.6,
WES,200.0,294.0,21285.6,3,1,167.0,297.0,1,2,120.0,234.0,1,3,118.0,221.0,1,3,74.9,145.8,1.9,SOM-1,118.0,221.0,30277.6,
WES,200.0,294.0,21301.4,3,1,169.0,259.0,1,2,160.0,266.0,1,3,101.0,251.0,1,3,71.4,122.1,1.7,SOM-2,101.0,251.0,29871.8,
WES,200.0,294.0,21350.7,3,1,123.0,260.0,1,2,105.0,223.0,1,3,102.0,214.0,1,3,80.9,197.6,2.4,SOM-1,102.0,214.0,31056.6,
WES,200.0,294.0,21370.9,3,1,157.0,253.0,1,2,127.0,219.0,1,3,133.0,214.0,1,3,67.5,161.1,2.4,MID-2,133.0,214.0,29475.8,
WES,200.0,294.0,21417.2,3,1,180.0,292.0,1,2,142.0,273.0,1,3,104.0,241.0,1,3,67.4,114.9,1.7,SOM-2,104.0,241.0,29500.2,
WES,200.0,294.0,21437.3,3,1,176.0,274.0,1,2,166.0,261.0,2,3,96.0,274.0,1,4,71.3,139.1,2.0,MOR-2,96.0,274.0,29993.8,
WES,200.0,294.0,21473.2,3,1,170.0,253.0,1,2,136.0,242.0,1,3,100.0,251.0,1,3,74.2,145.3,2.0,SOM-2,100.0,251.0,30375.8,
WES,200.0,294.0,21506.0,3,1,144.0,272.0,1,2,115.0,230.0,1,3,78.0,239.0,1,3,89.6,180.2,2.0,HUN,78.0,239.0,32254.5,
WES,200.0,294.0,21529.4,3,1,167.0,272.0,1,2,135.0,234.0,1,3,144.0,216.0,1,3,65.7,134.5,2.0,MID-2,144.0,216.0,29410.9,
WES,200.0,294.0,21543.1,3,1,170.0,273.0,1,2,122.0,244.0,1,3,84.0,269.0,1,3,82.9,148.8,1.8,WAR,84.0,269.0,31492.5,
WES,200.0,294.0,21581.6,3,1,148.0,291.0,1,2,105.0,271.0,1,3,96.0,275.0,1,3,65.6,153.3,2.3,MOR-3,96.0,275.0,29455.5,
WES,200.0,294.0,21594.4,3,1,170.0,259.0,1,2,132.0,231.0,1,3,121.0,199.0,1,3,76.3,157.4,2.1,MID-1,121.0,199.0,30748.3,
WES,200.0,294.0,21602.8,3,1,168.0,262.0,1,2,154.0,249.0,1,3,112.0,251.0,1,3,63.8,124.5,2.0,SOM-2,112.0,251.0,29264.1,
WES,200.0,294.0,21633.3,3,1,162.0,266.0,1,2,143.0,228.0,1,3,144.0,203.0,1,3,68.8,144.8,2.1,MON-3,144.0,203.0,29892.2,
WES,200.0,294.0,21644.6,3,1,160.0,300.0,1,2,118.0,272.0,1,3,104.0,277.0,1,3,63.5,133.7,2.1,MOR-3,104.0,277.0,29261.6,
WES,200.0,294.0,21645.9,3,1,171.0,258.0,1,2,117.0,225.0,1,3,111.0,197.0,1,3,82.9,171.5,2.1,MID-1,111.0,197.0,31592.6,
WES,200.0,294.0,21682.3,3,1,167.0,297.0,1,2,128.0,237.0,1,3,127.0,222.0,1,3,71.8,136.5,1.9,MID-2,127.0,222.0,30302.9,
WES,200.0,294.0,21682.5,3,1,154.0,278.0,1,2,137.0,270.0,1,3,101.0,295.0,1,3,66.8,129.1,1.9,SUS,101.0,295.0,29697.6,
WES,200.0,294.0,21695.2,3,1,157.0,253.0,1,2,137.0,228.0,1,3,121.0,214.0,1,3,67.6,157.9,2.3,MID-2,121.0,214.0,29808.9,
WES,200.0,294.0,21750.9,3,1,158.0,252.0,1,2,145.0,235.0,1,3,109.0,198.0,1,3,79.5,163.4,2.1,MID-1,109.0,198.0,31285.3,
WES,200.0,294.0,21767.4,3,1,150.0,244.0,1,2,150.0,243.0,1,3,140.0,225.0,1,3,55.4,140.1,2.5,MID-3,140.0,225.0,28413.1,
WES,200.0,294.0,21786.2,3,1,165.0,275.0,1,2,163.0,264.0,1,3,127.0,254.0,1,3,53.0,102.4,1.9,MOR-1,127.0,254.0,28148.7,
WES,200.0,294.0,21802.9,3,1,141.0,249.0,1,2,143.0,223.0,1,3,149.0,212.0,1,3,67.7,157.1,2.3,MON-3,149.0,212.0,29925.2,
WES,200.0,294.0,21806.9,3,1,129.0,219.0,1,2,125.0,220.0,1,3,115.0,230.0,1,3,72.9,189.0,2.6,SOM-1,115.0,230.0,30557.9,
WES,200.0,294.0,21812.4,3,1,166.0,261.0,1,2,121.0,253.0,1,3,110.0,157.0,1,3,113.8,180.2,1.6,BUR-2,110.0,157.0,35471.9,
WES,200.0,294.0,21855.2,3,1,170.0,273.0,1,2,125.0,267.0,1,3,115.0,189.0,1,3,96.4,150.9,1.6,MER-2,115.0,189.0,33422.5,
WES,200.0,294.0,21856.8,3,1,166.0,284.0,1,2,157.0,260.0,1,3,135.0,244.0,1,3,53.0,103.4,2.0,UNI-2,135.0,244.0,28212.6,
WES,200.0,294.0,21888.9,3,1,176.0,274.0,3,2,171.0,253.0,1,3,141.0,238.0,1,5,51.8,135.2,2.6,UNI-1,141.0,238.0,28107.5,
WES,200.0,294.0,21892.6,3,1,133.0,260.0,1,2,123.0,260.0,1,3,103.0,215.0,1,3,80.6,170.6,2.1,SOM-1,103.0,215.0,31567.8,
WES,200.0,294.0,21919.9,3,1,161.0,244.0,1,2,132.0,240.0,1,3,126.0,234.0,1,3,60.7,147.3,2.4,UNI-1,126.0,234.0,29204.2,
WES,200.0,294.0,21924.2,3,1,162.0,266.0,1,2,144.0,272.0,1,3,127.0,267.0,1,3,50.3,111.1,2.2,MOR-2,127.0,267.0,27964.6,
WES,200.0,294.0,21953.3,3,1,169.0,258.0,1,2,168.0,192.0,1,3,172.0,179.0,1,3,76.3,163.7,2.1,MON-1,172.0,179.0,31105.8,
WES,200.0,294.0,21969.0,3,1,140.0,263.0,1,2,138.0,238.0,1,3,129.0,218.0,1,3,68.7,153.1,2.2,MID-2,129.0,218.0,30216.4,
WES,200.0,294.0,22007.4,3,1,161.0,268.0,1,2,141.0,257.0,2,3,114.0,228.0,1,4,65.6,176.7,2.7,SOM-1,114.0,228.0,29878.5,
WES,200.0,294.0,22008.7,3,1,166.0,291.0,1,2,131.0,215.0,1,3,126.0,220.0,1,3,74.9,146.2,2.0,MID-2,126.0,220.0,30999.7,
WES,200.0,294.0,22022.1,3,1,160.0,242.0,1,2,145.0,245.0,1,3,124.0,230.0,1,3,64.0,143.2,2.2,MID-4,124.0,230.0,29705.2,
WES,200.0,294.0,22059.8,3,1,180.0,290.0,1,2,140.0,251.0,1,3,144.0,188.0,1,3,83.6,128.5,1.5,MON-2,144.0,188.0,32095.8,
WES,200.0,294.0,22067.8,3,1,155.0,285.0,1,2,124.0,293.0,1,3,91.0,258.0,1,3,75.6,142.0,1.9,MOR-1,91.0,258.0,31140.6,
WES,200.0,294.0,22068.3,3,1,156.0,253.0,1,2,136.0,241.0,1,3,122.0,224.0,1,3,63.3,148.8,2.4,MID-3,122.0,224.0,29663.5,
WES,200.0,294.0,22105.8,3,1,157.0,276.0,1,2,135.0,250.0,2,3,122.0,227.0,1,4,64.3,183.9,2.9,MID-3,122.0,227.0,29816.6,
WES,200.0,294.0,22139.5,3,1,179.0,274.0,1,2,121.0,261.0,1,3,107.0,233.0,1,3,71.8,135.5,1.9,SOM-2,107.0,233.0,30761.1,
WES,200.0,294.0,22155.2,3,1,143.0,242.0,1,2,130.0,235.0,1,3,138.0,215.0,1,3,68.1,161.5,2.4,MID-2,138.0,215.0,30324.4,
WES,200.0,294.0,22182.8,3,1,167.0,297.0,2,2,145.0,255.0,1,3,136.0,242.0,1,4,57.8,129.7,2.2,UNI-2,136.0,242.0,29120.8,
WES,200.0,294.0,22196.1,3,1,162.0,263.0,3,2,147.0,233.0,1,3,137.0,207.0,1,5,66.3,201.2,3.0,MID-1,137.0,207.0,30147.7,
WES,200.0,294.0,22199.7,3,1,155.0,292.0,1,2,148.0,291.0,2,3,96.0,270.0,1,4,64.9,153.6,2.4,MOR-2,96.0,270.0,29989.8,
WES,200.0,294.0,22214.1,3,1,165.0,263.0,1,2,158.0,258.0,1,3,155.0,253.0,1,3,36.7,97.8,2.7,ESS-2,155.0,253.0,26619.6,
WES,200.0,294.0,22220.6,3,1,176.0,274.0,1,2,168.0,252.0,1,3,143.0,241.0,1,3,49.2,97.1,2.0,UNI-2,143.0,241.0,28121.9,
